歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Montell Jordan,8,r&b,22.375,65,2002.0,0.791,0.58,0.815,0.136,0.0,0.228,0.087,R&B
Travel With The Sun,8,rock,22.375,39,2019.0,0.511,0.569,0.287,0.139,0.0,0.213,0.036,摇滚
Of Monsters and Men,9,pop,22.333,75,2015.0,0.479,0.703,0.352,0.017,0.033,0.133,0.031,流行
Bobby Brown,41,r&b,22.195,56,1992.0,0.713,0.751,0.703,0.041,0.013,0.131,0.054,R&B
Cinderella,6,rock,22.167,61,1988.0,0.45,0.695,0.383,0.09,0.001,0.195,0.032,摇滚
Morbo,8,pop,22.125,30,2001.0,0.599,0.82,0.52,0.074,0.432,0.215,0.039,流行
Father MC,8,r&b,22.125,37,1992.0,0.793,0.708,0.762,0.111,0.0,0.172,0.12,R&B
Blackstreet,18,r&b,21.833,76,1995.0,0.803,0.677,0.669,0.146,0.0,0.174,0.128,R&B
6ix9ine,10,rap,21.8,70,2018.0,0.774,0.677,0.475,0.134,0.0,0.156,0.258,说唱
Tony Dize,14,latin,21.714,65,2010.0,0.727,0.74,0.818,0.163,0.0,0.157,0.082,拉丁
Troop,10,r&b,21.7,55,1989.0,0.728,0.652,0.729,0.135,0.013,0.146,0.064,R&B
Jay Hardway,13,edm,21.692,59,2017.0,0.607,0.821,0.32,0.017,0.401,0.259,0.058,电子舞曲
Sean Price,9,rap,21.667,26,2012.0,0.502,0.799,0.566,0.068,0.001,0.256,0.359,说唱
Jonny Joel,6,edm,21.667,34,2019.0,0.745,0.494,0.464,0.158,0.321,0.102,0.096,电子舞曲
The Friday Night Boys,5,pop,21.6,31,2009.0,0.462,0.77,0.545,0.176,0.0,0.132,0.084,流行
twoloud,10,edm,21.6,48,2015.0,0.604,0.876,0.325,0.005,0.214,0.357,0.093,电子舞曲
Firebeatz,12,edm,21.583,54,2015.0,0.652,0.866,0.327,0.008,0.247,0.168,0.072,电子舞曲
The Pretty Reckless,7,rap,21.571,53,2014.0,0.513,0.872,0.392,0.025,0.006,0.305,0.091,说唱
Rick Ross,44,rap,21.545,69,2012.0,0.582,0.74,0.408,0.067,0.0,0.275,0.222,说唱
Swanky Tunes,8,edm,21.375,53,2015.0,0.565,0.884,0.283,0.084,0.021,0.257,0.076,电子舞曲
Childish Gambino,20,r&b,21.35,81,2016.0,0.654,0.49,0.483,0.175,0.058,0.172,0.16,R&B
Iron Maiden,9,rock,21.333,55,1983.0,0.281,0.909,0.454,0.011,0.032,0.324,0.069,摇滚
T.I.,33,rap,21.242,74,2006.0,0.634,0.767,0.484,0.104,0.0,0.237,0.233,说唱
Freddy Moreira,5,latin,21.2,28,2016.0,0.846,0.895,0.73,0.017,0.315,0.225,0.149,拉丁
Kevu,5,edm,21.0,34,2019.0,0.624,0.904,0.15,0.004,0.301,0.167,0.119,电子舞曲
Creedence Clearwater Revival,32,rock,20.906,80,1976.0,0.675,0.665,0.764,0.115,0.069,0.141,0.039,摇滚
Timeflies,5,pop,20.8,66,2016.0,0.681,0.707,0.494,0.114,0.0,0.224,0.124,流行
Bon Jovi,25,rock,20.76,83,2010.0,0.473,0.863,0.66,0.052,0.003,0.225,0.045,摇滚
Hellberg,6,edm,20.667,52,2015.0,0.572,0.741,0.437,0.133,0.158,0.174,0.068,电子舞曲
Chuckii Booker,6,r&b,20.667,44,1990.5,0.672,0.697,0.752,0.057,0.028,0.08,0.043,R&B
blink-182,16,pop,20.625,78,2000.0,0.474,0.897,0.526,0.011,0.0,0.238,0.059,流行
Heart,14,rock,20.357,73,1985.0,0.478,0.645,0.532,0.164,0.027,0.231,0.042,摇滚
Sander van Doorn,11,edm,20.273,49,2014.0,0.546,0.901,0.312,0.009,0.4,0.236,0.066,电子舞曲
Zero Theorem,10,rock,20.2,40,2018.5,0.421,0.976,0.422,0.001,0.0,0.3,0.11,摇滚
A Tribe Called Quest,6,r&b,20.167,69,1993.0,0.85,0.527,0.68,0.164,0.172,0.152,0.305,R&B
The Who,31,rock,20.161,76,1996.0,0.517,0.761,0.429,0.194,0.177,0.188,0.046,摇滚
Ken Clayton,5,pop,20.0,29,2014.0,0.566,0.785,0.622,0.239,0.137,0.293,0.044,流行
Quintino,16,edm,19.938,52,2015.0,0.674,0.863,0.135,0.009,0.375,0.137,0.074,电子舞曲
Showtek,20,edm,19.9,57,2014.0,0.585,0.917,0.343,0.017,0.244,0.186,0.08,电子舞曲
New Edition,15,r&b,19.867,61,1996.0,0.694,0.721,0.747,0.265,0.003,0.272,0.058,R&B
Tom Swoon,5,edm,19.8,35,2014.0,0.511,0.807,0.296,0.078,0.109,0.211,0.113,电子舞曲
NAEMS,6,edm,19.667,27,2019.0,0.495,0.96,0.253,0.018,0.487,0.15,0.073,电子舞曲
The Psycho Realm,6,latin,19.667,29,2004.5,0.637,0.647,0.366,0.057,0.018,0.367,0.186,拉丁
Rim'K,6,r&b,19.333,61,2016.0,0.622,0.738,0.494,0.164,0.0,0.096,0.327,R&B
Alizzmatic,6,edm,19.333,22,2018.0,0.739,0.672,0.779,0.04,0.729,0.068,0.057,电子舞曲
Stevie Wonder,7,r&b,19.0,59,2004.0,0.511,0.579,0.699,0.3,0.001,0.173,0.048,R&B
Sunnery James & Ryan Marciano,5,latin,19.0,45,2018.0,0.714,0.859,0.352,0.014,0.398,0.208,0.054,拉丁
Bell Biv DeVoe,18,r&b,18.667,66,2002.0,0.771,0.713,0.665,0.047,0.002,0.345,0.108,R&B
Uriah Heep,5,rock,18.6,56,2009.0,0.377,0.762,0.55,0.044,0.071,0.155,0.07,摇滚
Martin Numan,7,edm,18.571,20,2018.0,0.67,0.776,0.594,0.085,0.761,0.23,0.093,电子舞曲
Erick Morillo,7,edm,18.571,49,2015.0,0.693,0.83,0.415,0.059,0.375,0.089,0.059,电子舞曲
Dj Electrocimatic,6,edm,18.333,20,2019.0,0.756,0.822,0.6,0.01,0.847,0.116,0.065,电子舞曲
Moguai,6,edm,18.333,34,2016.5,0.663,0.878,0.33,0.162,0.187,0.245,0.114,电子舞曲
Heavy D & The Boyz,19,r&b,18.211,57,1991.0,0.752,0.623,0.628,0.059,0.006,0.136,0.148,R&B
Sean C. Johnson,9,r&b,17.889,25,2012.0,0.574,0.637,0.666,0.27,0.0,0.17,0.119,R&B
DMX,18,rap,17.889,66,2007.0,0.692,0.846,0.613,0.088,0.0,0.204,0.249,说唱
Black Sabbath,16,rock,17.875,76,1972.5,0.387,0.658,0.438,0.03,0.008,0.146,0.073,摇滚
Daemus Moon,7,edm,17.857,20,2019.0,0.63,0.858,0.751,0.107,0.819,0.316,0.133,电子舞曲
Dada Life,6,edm,17.833,38,2019.0,0.645,0.917,0.267,0.024,0.289,0.205,0.093,电子舞曲
Club Nouveau,6,r&b,17.667,45,2006.5,0.773,0.658,0.672,0.042,0.0,0.087,0.076,R&B
Rainbow,8,rock,17.625,59,1977.0,0.503,0.752,0.64,0.284,0.004,0.296,0.045,摇滚
Zion,10,latin,17.6,67,2007.0,0.721,0.773,0.744,0.209,0.0,0.21,0.095,拉丁
John Christian,5,edm,17.6,52,2014.0,0.661,0.953,0.189,0.012,0.819,0.139,0.139,电子舞曲
Gareth Emery,7,edm,17.429,41,2014.0,0.531,0.819,0.27,0.029,0.205,0.197,0.05,电子舞曲
Shanice,5,r&b,17.4,59,1999.0,0.697,0.802,0.78,0.012,0.03,0.173,0.128,R&B
Steve Angello,5,edm,17.4,51,2015.0,0.621,0.728,0.224,0.03,0.573,0.127,0.069,电子舞曲
Borgeous,15,edm,17.067,56,2014.0,0.627,0.842,0.358,0.036,0.208,0.135,0.086,电子舞曲
Jordan Rakei,11,r&b,17.0,43,2015.0,0.729,0.47,0.545,0.21,0.017,0.138,0.173,R&B
David Banner,5,rap,17.0,55,2003.0,0.776,0.806,0.733,0.037,0.0,0.09,0.212,说唱
Manfred Mann's Earth Band,5,rock,16.8,61,1996.0,0.573,0.632,0.561,0.272,0.003,0.074,0.112,摇滚
D'Angelo,25,r&b,16.72,62,2008.0,0.716,0.463,0.561,0.275,0.062,0.166,0.149,R&B
KISS,25,rock,16.56,78,1996.0,0.591,0.874,0.661,0.099,0.037,0.283,0.065,摇滚
Chris Goldarg,10,edm,16.4,19,2019.0,0.734,0.841,0.616,0.062,0.493,0.138,0.105,电子舞曲
Julian Calor,6,edm,16.333,27,2015.0,0.588,0.72,0.138,0.037,0.285,0.24,0.06,电子舞曲
Pastor Troy,14,rap,16.214,52,2005.0,0.704,0.799,0.469,0.039,0.001,0.253,0.181,说唱
Tvbuu,5,rap,16.2,22,2019.0,0.724,0.717,0.327,0.171,0.0,0.224,0.207,说唱
Headhunterz,9,edm,16.0,39,2015.0,0.501,0.87,0.254,0.026,0.093,0.207,0.131,电子舞曲
Tetengo,13,edm,15.923,20,2018.0,0.696,0.771,0.511,0.014,0.686,0.147,0.091,电子舞曲
Portrait,11,r&b,15.909,39,2000.0,0.699,0.624,0.599,0.04,0.053,0.163,0.085,R&B
Young Buck,8,rap,15.875,57,2006.0,0.696,0.784,0.584,0.244,0.0,0.096,0.278,说唱
You Me At Six,25,pop,15.84,55,2008.0,0.427,0.817,0.482,0.031,0.016,0.206,0.064,流行
Afrojack,31,edm,15.774,58,2014.0,0.626,0.848,0.377,0.087,0.211,0.18,0.066,电子舞曲
gizmo,12,rap,15.75,49,2018.0,0.807,0.686,0.276,0.061,0.0,0.266,0.198,说唱
