歌手,歌曲数,主流派别,平均流行度,最高流行度,发行年份中位数,平均danceability,平均energy,平均valence,平均acousticness,平均instrumentalness,平均liveness,平均speechiness,流派中文
Campsite Dream,13,latin,46.846,55,2017.0,0.666,0.682,0.49,0.356,0.002,0.175,0.073,拉丁
Habstrakt,6,edm,46.833,51,2019.0,0.764,0.87,0.408,0.005,0.419,0.325,0.265,电子舞曲
Eladio Carrion,6,rap,46.833,79,2019.0,0.752,0.611,0.477,0.302,0.0,0.184,0.151,说唱
Lil Tecca,12,rap,46.833,90,2019.0,0.71,0.591,0.355,0.161,0.0,0.114,0.255,说唱
The Him,10,edm,46.8,61,2018.0,0.654,0.848,0.501,0.036,0.002,0.204,0.106,电子舞曲
Hozier,5,pop,46.8,80,2014.0,0.548,0.65,0.5,0.472,0.0,0.117,0.044,流行
joan,7,pop,46.714,60,2018.0,0.596,0.68,0.499,0.1,0.0,0.14,0.037,流行
Tears For Fears,6,rock,46.667,80,1985.0,0.621,0.822,0.662,0.199,0.081,0.156,0.041,摇滚
Daddy Yankee,48,latin,46.646,90,2009.0,0.771,0.834,0.726,0.131,0.003,0.198,0.082,拉丁
John De Sohn,13,edm,46.615,68,2018.0,0.666,0.743,0.538,0.114,0.0,0.157,0.043,电子舞曲
Türküm,5,rap,46.6,54,2018.0,0.473,0.779,0.196,0.01,0.344,0.173,0.079,说唱
Timmy Trumpet,12,edm,46.583,69,2018.0,0.585,0.859,0.236,0.007,0.222,0.338,0.126,电子舞曲
Y.V.E. 48,9,latin,46.556,59,2017.0,0.688,0.607,0.277,0.109,0.159,0.208,0.052,拉丁
AK Ausserkontrolle,13,rap,46.538,56,2016.0,0.666,0.748,0.416,0.189,0.001,0.174,0.328,说唱
Capital Bra,12,rap,46.5,79,2017.0,0.725,0.714,0.466,0.182,0.0,0.16,0.363,说唱
The Cranberries,43,rock,46.395,80,1996.0,0.448,0.624,0.361,0.095,0.022,0.171,0.035,摇滚
Don Diablo,16,edm,46.312,72,2019.0,0.695,0.865,0.408,0.15,0.055,0.214,0.108,电子舞曲
Seven Lions,8,edm,46.25,62,2017.0,0.484,0.746,0.309,0.077,0.0,0.202,0.049,电子舞曲
Lost Kings,18,pop,46.222,70,2019.0,0.655,0.783,0.479,0.095,0.0,0.146,0.088,流行
R5,5,pop,46.2,49,2015.0,0.648,0.799,0.623,0.018,0.0,0.201,0.076,流行
Craig David,5,r&b,46.2,70,2018.0,0.705,0.748,0.735,0.151,0.02,0.115,0.058,R&B
The Guess Who,5,rock,46.2,67,1999.0,0.541,0.635,0.58,0.127,0.002,0.213,0.057,摇滚
Curbi,6,edm,46.167,58,2019.0,0.764,0.939,0.421,0.042,0.31,0.227,0.09,电子舞曲
James Carter,7,latin,46.143,55,2019.0,0.645,0.725,0.366,0.228,0.004,0.117,0.097,拉丁
Incubus,7,rock,46.143,74,1999.0,0.532,0.782,0.442,0.113,0.01,0.289,0.047,摇滚
Lil Wayne,29,rap,46.034,77,2005.0,0.69,0.736,0.652,0.123,0.001,0.229,0.234,说唱
EDX,6,edm,46.0,59,2019.0,0.737,0.889,0.631,0.009,0.312,0.088,0.055,电子舞曲
Common,5,r&b,46.0,60,1997.0,0.757,0.578,0.616,0.049,0.0,0.289,0.35,R&B
Midel,5,rap,46.0,66,2019.0,0.778,0.749,0.529,0.247,0.0,0.129,0.052,说唱
OutKast,32,rap,45.844,78,1998.0,0.773,0.71,0.553,0.087,0.0,0.19,0.252,说唱
Simple Plan,6,latin,45.833,70,2005.5,0.564,0.66,0.541,0.062,0.0,0.131,0.044,拉丁
Jazzinuf,6,latin,45.833,53,2018.0,0.666,0.672,0.721,0.201,0.624,0.249,0.162,拉丁
Galantis,26,edm,45.731,77,2016.0,0.581,0.837,0.41,0.056,0.044,0.149,0.075,电子舞曲
Glass Animals,6,pop,45.667,73,2016.0,0.65,0.503,0.45,0.263,0.038,0.141,0.044,流行
HELLYEAH,5,rock,45.6,52,2019.0,0.459,0.979,0.305,0.0,0.0,0.264,0.134,摇滚
Krewella,5,edm,45.6,55,2013.0,0.607,0.893,0.353,0.05,0.014,0.17,0.098,电子舞曲
The Knocks,7,pop,45.571,62,2018.0,0.59,0.747,0.433,0.037,0.015,0.172,0.072,流行
R.E.M.,7,rock,45.571,81,1991.0,0.532,0.788,0.67,0.168,0.022,0.14,0.031,摇滚
New Order,16,rock,45.5,73,1995.5,0.605,0.853,0.764,0.016,0.461,0.229,0.044,摇滚
Upchurch,27,rap,45.444,65,2018.0,0.624,0.675,0.42,0.141,0.002,0.211,0.067,说唱
Proleter,5,edm,45.4,56,2018.0,0.769,0.543,0.757,0.255,0.339,0.112,0.121,电子舞曲
Two Door Cinema Club,5,pop,45.4,71,2012.0,0.632,0.734,0.694,0.062,0.083,0.098,0.036,流行
Chocolate Puma,5,edm,45.4,58,2019.0,0.726,0.867,0.578,0.01,0.506,0.253,0.06,电子舞曲
Belanova,10,pop,45.4,61,2008.0,0.664,0.77,0.559,0.119,0.081,0.225,0.035,流行
Gary Moore,6,rock,45.333,54,2002.0,0.319,0.858,0.37,0.033,0.097,0.175,0.095,摇滚
GASHI,10,rap,45.3,68,2019.0,0.688,0.739,0.408,0.072,0.004,0.162,0.078,说唱
Pink Floyd,15,rock,45.267,76,1975.0,0.482,0.412,0.462,0.326,0.161,0.34,0.063,摇滚
The Notorious B.I.G.,38,rap,45.263,76,1997.0,0.765,0.733,0.653,0.185,0.001,0.247,0.307,说唱
Louis The Child,6,pop,45.167,73,2017.5,0.774,0.538,0.39,0.226,0.013,0.152,0.174,流行
Yung Bae,7,r&b,45.143,51,2016.0,0.658,0.906,0.632,0.025,0.002,0.291,0.327,R&B
Tyga,33,rap,45.121,91,2016.0,0.819,0.631,0.43,0.122,0.0,0.224,0.23,说唱
Tom Petty,10,rock,45.1,76,1994.0,0.626,0.592,0.71,0.128,0.102,0.22,0.031,摇滚
Tritonal,16,edm,45.062,58,2016.5,0.536,0.796,0.364,0.182,0.0,0.202,0.058,电子舞曲
OneRepublic,19,pop,45.053,80,2014.0,0.571,0.756,0.388,0.121,0.004,0.139,0.061,流行
Arcangel,20,latin,45.05,84,2018.5,0.775,0.706,0.642,0.191,0.006,0.293,0.139,拉丁
Lindsey Stirling,5,pop,45.0,58,2014.0,0.483,0.819,0.257,0.011,0.012,0.303,0.074,流行
FRENSHIP,6,pop,45.0,73,2016.0,0.682,0.719,0.545,0.105,0.069,0.321,0.04,流行
The Band CAMINO,6,pop,45.0,67,2018.5,0.548,0.773,0.527,0.077,0.001,0.186,0.064,流行
ZZ Top,17,rock,44.941,74,1987.0,0.596,0.726,0.642,0.117,0.069,0.154,0.074,摇滚
Yandel,8,latin,44.875,73,2017.0,0.768,0.758,0.642,0.14,0.0,0.276,0.084,拉丁
Broederliefde,7,latin,44.857,57,2019.0,0.694,0.718,0.576,0.174,0.0,0.184,0.187,拉丁
Lucky Daye,6,r&b,44.833,67,2019.0,0.568,0.519,0.506,0.323,0.016,0.158,0.081,R&B
Smallpools,6,pop,44.833,61,2017.0,0.601,0.791,0.559,0.023,0.0,0.089,0.056,流行
Felix Jaehn,10,latin,44.8,79,2018.0,0.744,0.768,0.487,0.185,0.025,0.093,0.085,拉丁
B.o.B,5,pop,44.8,75,2010.0,0.693,0.823,0.55,0.076,0.0,0.137,0.18,流行
Tiro De Gracia,5,latin,44.8,52,2004.0,0.809,0.788,0.837,0.278,0.0,0.187,0.206,拉丁
Dorothy,9,rap,44.778,63,2016.0,0.515,0.577,0.503,0.076,0.002,0.248,0.036,说唱
ONE OK ROCK,17,rock,44.765,61,2015.0,0.451,0.843,0.387,0.061,0.0,0.188,0.086,摇滚
Big Sean,11,rap,44.727,76,2015.0,0.746,0.625,0.298,0.183,0.0,0.223,0.192,说唱
Mayday Parade,9,pop,44.667,59,2009.0,0.366,0.755,0.393,0.128,0.0,0.168,0.075,流行
Bad Suns,6,pop,44.667,62,2016.0,0.579,0.84,0.595,0.032,0.0,0.088,0.047,流行
2 Chainz,11,rap,44.636,74,2017.0,0.796,0.661,0.451,0.197,0.0,0.213,0.208,说唱
Cheat Codes,16,pop,44.625,73,2017.0,0.614,0.744,0.36,0.043,0.002,0.188,0.106,流行
UCLÃ,5,rap,44.6,50,2019.0,0.762,0.666,0.495,0.157,0.0,0.147,0.153,说唱
Westside Connection,12,rap,44.583,66,1996.0,0.856,0.604,0.515,0.102,0.0,0.444,0.292,说唱
Tujamo,20,edm,44.55,69,2018.0,0.739,0.896,0.441,0.043,0.413,0.153,0.104,电子舞曲
Astrid S,11,pop,44.545,70,2019.0,0.678,0.529,0.337,0.414,0.028,0.164,0.073,流行
Justin Timberlake,11,pop,44.545,78,2013.0,0.641,0.599,0.545,0.264,0.004,0.206,0.105,流行
Miguel Bosé,6,latin,44.5,63,2009.5,0.612,0.644,0.505,0.111,0.079,0.109,0.031,拉丁
112,8,r&b,44.5,66,1999.0,0.7,0.587,0.784,0.094,0.0,0.115,0.179,R&B
Demi Lovato,23,pop,44.478,80,2013.0,0.563,0.764,0.587,0.043,0.0,0.168,0.092,流行
Rae Sremmurd,8,rap,44.375,76,2016.0,0.781,0.634,0.326,0.114,0.0,0.171,0.102,说唱
Joey Bada$$,6,r&b,44.333,70,2017.0,0.646,0.779,0.569,0.231,0.0,0.232,0.247,R&B
En Vogue,11,r&b,44.273,60,2001.0,0.675,0.631,0.602,0.184,0.0,0.229,0.052,R&B
Cash Cash,21,edm,44.238,65,2016.0,0.571,0.84,0.364,0.086,0.0,0.188,0.098,电子舞曲
Ginuwine,13,r&b,44.231,72,1999.0,0.757,0.54,0.726,0.184,0.007,0.206,0.119,R&B
Breaking Benjamin,14,rock,44.214,71,2012.0,0.406,0.91,0.353,0.003,0.007,0.163,0.101,摇滚
Coopex,6,rap,44.167,57,2019.0,0.517,0.688,0.168,0.166,0.005,0.135,0.079,说唱
Killstation,9,rap,44.111,63,2016.0,0.561,0.574,0.214,0.117,0.156,0.122,0.109,说唱
Julieta Venegas,5,latin,44.0,69,2006.0,0.738,0.655,0.758,0.193,0.0,0.161,0.044,拉丁
for KING & COUNTRY,5,pop,44.0,56,2019.0,0.631,0.738,0.413,0.064,0.0,0.188,0.059,流行
Rich The Kid,5,rap,44.0,77,2019.0,0.848,0.595,0.286,0.229,0.0,0.113,0.175,说唱
Whitney Houston,17,r&b,44.0,80,1987.0,0.687,0.647,0.639,0.292,0.002,0.195,0.059,R&B
Europe,6,rock,43.833,75,1986.0,0.579,0.829,0.368,0.066,0.0,0.25,0.055,摇滚
Sean Paul,15,latin,43.8,79,2016.0,0.724,0.802,0.572,0.141,0.0,0.176,0.157,拉丁
Agnes Obel,10,pop,43.8,60,2016.0,0.541,0.281,0.277,0.897,0.387,0.157,0.034,流行
Rival Sons,5,rock,43.8,54,2014.0,0.359,0.894,0.449,0.013,0.047,0.335,0.045,摇滚
James Brown,5,r&b,43.8,56,1991.0,0.726,0.549,0.713,0.461,0.001,0.394,0.113,R&B
Chad Cooper,5,edm,43.8,50,2018.0,0.68,0.739,0.301,0.092,0.0,0.127,0.078,电子舞曲
The Black Eyed Peas,14,pop,43.786,96,2009.0,0.772,0.741,0.603,0.084,0.002,0.25,0.105,流行
The Psychedelic Furs,7,rock,43.714,64,1988.0,0.583,0.691,0.649,0.074,0.001,0.138,0.039,摇滚
TWO LANES,5,rap,43.6,47,2019.0,0.613,0.566,0.184,0.295,0.318,0.169,0.129,说唱
Wun Two,10,rap,43.6,65,2018.5,0.733,0.348,0.67,0.474,0.693,0.118,0.164,说唱
Andra Day,5,r&b,43.6,74,2016.0,0.453,0.436,0.291,0.48,0.0,0.18,0.037,R&B
Orchestral Manoeuvres In The Dark,13,rock,43.462,65,1985.0,0.611,0.762,0.775,0.155,0.206,0.174,0.032,摇滚
Toni Braxton,11,r&b,43.455,65,1996.0,0.701,0.65,0.682,0.155,0.0,0.128,0.039,R&B
Ringo Starr,7,rock,43.429,58,2007.0,0.652,0.686,0.792,0.055,0.0,0.176,0.042,摇滚
Jamie Berry,5,edm,43.4,54,2016.0,0.813,0.712,0.7,0.112,0.339,0.298,0.133,电子舞曲
Yung Felix,5,latin,43.4,61,2019.0,0.811,0.727,0.546,0.135,0.157,0.165,0.114,拉丁
Nelly,14,rap,43.357,77,2002.0,0.788,0.642,0.656,0.078,0.001,0.186,0.135,说唱
Fetty Wap,6,rap,43.333,75,2015.0,0.708,0.79,0.645,0.042,0.0,0.373,0.158,说唱
Akon,12,latin,43.333,70,2011.5,0.706,0.613,0.503,0.192,0.0,0.226,0.075,拉丁
Kanye West,17,rap,43.294,85,2010.0,0.58,0.726,0.408,0.08,0.0,0.257,0.257,说唱
Haze,7,rap,43.286,67,2018.0,0.688,0.712,0.679,0.207,0.0,0.207,0.29,说唱
Amy Winehouse,12,r&b,43.25,73,2006.0,0.729,0.644,0.636,0.178,0.003,0.174,0.054,R&B
George Harrison,19,rock,43.158,75,1973.0,0.536,0.682,0.619,0.298,0.012,0.17,0.035,摇滚
Mike Candys,8,edm,43.125,60,2018.5,0.771,0.876,0.435,0.061,0.328,0.206,0.068,电子舞曲
Alessia Cara,13,pop,43.077,78,2016.0,0.551,0.691,0.398,0.127,0.0,0.125,0.141,流行
Tchami,5,edm,43.0,57,2018.0,0.756,0.813,0.553,0.003,0.51,0.065,0.057,电子舞曲
Farruko,27,latin,42.926,77,2016.0,0.722,0.76,0.705,0.229,0.0,0.216,0.086,拉丁
Musiq Soulchild,17,r&b,42.882,58,2002.0,0.606,0.544,0.432,0.244,0.0,0.177,0.156,R&B
Hansie,7,latin,42.857,49,2019.0,0.69,0.689,0.687,0.287,0.0,0.143,0.298,拉丁
The Marshall Tucker Band,5,rock,42.8,65,1975.0,0.442,0.779,0.568,0.168,0.003,0.118,0.037,摇滚
Kungs,10,latin,42.8,78,2016.0,0.726,0.705,0.46,0.09,0.152,0.2,0.064,拉丁
Nothing More,5,rock,42.8,59,2017.0,0.417,0.92,0.432,0.0,0.004,0.151,0.086,摇滚
3 Doors Down,8,rock,42.75,77,2002.0,0.518,0.798,0.46,0.015,0.012,0.165,0.041,摇滚
Rich Homie Quan,7,rap,42.714,63,2014.0,0.72,0.555,0.566,0.064,0.0,0.296,0.193,说唱
Tamia,6,r&b,42.667,64,1998.0,0.648,0.544,0.512,0.249,0.0,0.188,0.032,R&B
David Bowie,28,rock,42.643,75,1983.0,0.526,0.682,0.609,0.109,0.062,0.217,0.04,摇滚
The Cars,10,rock,42.6,69,1979.5,0.637,0.708,0.683,0.043,0.077,0.158,0.037,摇滚
Madiel Lara,7,latin,42.571,52,2018.0,0.786,0.688,0.745,0.247,0.0,0.218,0.051,拉丁
Theory of a Deadman,6,rock,42.5,60,2011.0,0.505,0.846,0.492,0.021,0.0,0.16,0.049,摇滚
Jorja Smith,18,r&b,42.5,80,2018.0,0.566,0.541,0.353,0.504,0.021,0.158,0.157,R&B
Big K.R.I.T.,14,r&b,42.5,58,2017.0,0.552,0.729,0.322,0.179,0.0,0.15,0.178,R&B
Deep Purple,15,rock,42.467,75,1980.0,0.46,0.759,0.594,0.081,0.137,0.161,0.045,摇滚
Alice Cooper,15,rock,42.467,70,1976.0,0.477,0.712,0.54,0.098,0.015,0.209,0.062,摇滚
Maroon 5,44,pop,42.409,98,2014.0,0.683,0.699,0.56,0.136,0.0,0.213,0.052,流行
Youngbloodz,5,rap,42.4,68,2003.0,0.755,0.676,0.622,0.02,0.0,0.448,0.332,说唱
Sampha,5,r&b,42.4,63,2017.0,0.65,0.445,0.353,0.431,0.003,0.207,0.093,R&B
Queen,130,rock,42.4,84,1976.0,0.475,0.62,0.455,0.292,0.024,0.222,0.072,摇滚
Joey Montana,8,latin,42.25,65,2015.0,0.76,0.799,0.744,0.181,0.0,0.161,0.066,拉丁
Tinashe,9,edm,42.222,67,2016.0,0.659,0.656,0.44,0.174,0.0,0.15,0.087,电子舞曲
Van Morrison,9,rock,42.222,79,1970.0,0.582,0.553,0.761,0.274,0.0,0.258,0.043,摇滚
The Vamps,5,pop,42.2,74,2014.0,0.566,0.786,0.627,0.063,0.0,0.299,0.043,流行
Karan Aujla,5,rap,42.0,61,2019.0,0.682,0.715,0.54,0.166,0.0,0.274,0.186,说唱
R.K.M & Ken-Y,11,latin,42.0,63,2008.0,0.794,0.721,0.659,0.218,0.007,0.253,0.071,拉丁
Gloria Trevi,5,latin,42.0,59,2019.0,0.591,0.814,0.584,0.101,0.0,0.118,0.085,拉丁
DJ Snake,37,pop,41.919,88,2016.0,0.656,0.786,0.336,0.083,0.083,0.182,0.087,流行
Logic,65,rap,41.908,81,2018.0,0.732,0.775,0.526,0.15,0.001,0.169,0.151,说唱
Avicii,48,pop,41.896,84,2014.0,0.604,0.781,0.481,0.078,0.08,0.175,0.052,流行
Wale,7,r&b,41.857,69,2017.0,0.679,0.659,0.402,0.159,0.0,0.168,0.218,R&B
Sebastian Ingrosso,6,edm,41.833,64,2012.5,0.45,0.788,0.29,0.041,0.0,0.133,0.049,电子舞曲
Drake,68,rap,41.809,88,2016.0,0.739,0.549,0.38,0.139,0.009,0.172,0.182,说唱
Foxa,5,latin,41.8,47,2019.0,0.68,0.822,0.391,0.164,0.017,0.198,0.094,拉丁
Seeb,8,pop,41.75,73,2017.5,0.569,0.804,0.445,0.212,0.0,0.223,0.073,流行
Capital Cities,6,pop,41.667,77,2013.0,0.669,0.755,0.749,0.015,0.031,0.101,0.034,流行
Calum Scott,5,edm,41.6,83,2017.0,0.582,0.499,0.184,0.363,0.0,0.135,0.035,电子舞曲
Eric Clapton,13,rock,41.462,73,1995.0,0.634,0.55,0.645,0.211,0.075,0.312,0.035,摇滚
Mike Williams,11,edm,41.455,70,2018.0,0.635,0.866,0.476,0.065,0.229,0.264,0.05,电子舞曲
Martin Garrix,87,edm,41.402,83,2016.0,0.585,0.8,0.251,0.051,0.258,0.269,0.061,电子舞曲
Twisted Sister,5,rock,41.4,73,2007.0,0.52,0.88,0.758,0.01,0.042,0.273,0.058,摇滚
Jacob Banks,5,r&b,41.4,62,2018.0,0.41,0.362,0.239,0.814,0.012,0.125,0.06,R&B
Jelly Roll,29,rap,41.241,61,2018.0,0.669,0.686,0.397,0.173,0.0,0.178,0.109,说唱
Boston,9,rock,41.222,78,1976.0,0.398,0.678,0.436,0.038,0.047,0.147,0.039,摇滚
The Aces,6,pop,41.167,57,2018.0,0.594,0.693,0.611,0.139,0.016,0.12,0.057,流行
Avril Lavigne,6,pop,41.167,77,2007.0,0.513,0.872,0.582,0.044,0.002,0.223,0.07,流行
Mike Bahía,7,latin,41.143,79,2019.0,0.772,0.697,0.476,0.221,0.0,0.099,0.239,拉丁
blackwave.,7,r&b,41.143,53,2017.0,0.703,0.627,0.65,0.182,0.0,0.206,0.199,R&B
Gucci Mane,15,rap,41.133,78,2017.0,0.794,0.577,0.387,0.121,0.0,0.196,0.174,说唱
Bryce Vine,5,pop,41.0,55,2014.0,0.562,0.773,0.682,0.042,0.0,0.213,0.116,流行
Elderbrook,5,pop,41.0,61,2018.0,0.785,0.588,0.463,0.317,0.191,0.153,0.077,流行
U2,26,rock,40.923,79,1998.0,0.536,0.694,0.48,0.104,0.037,0.2,0.039,摇滚
Joe,13,r&b,40.923,64,2000.0,0.669,0.595,0.592,0.238,0.0,0.239,0.061,R&B
Trick Daddy,9,rap,40.889,65,2001.0,0.86,0.706,0.72,0.065,0.0,0.19,0.192,说唱
The Wanted,6,edm,40.833,71,2012.0,0.622,0.842,0.415,0.036,0.003,0.154,0.066,电子舞曲
Gzuz,8,rap,40.75,79,2015.0,0.626,0.741,0.446,0.165,0.0,0.196,0.39,说唱
Deep Chills,10,latin,40.7,60,2018.5,0.785,0.641,0.585,0.237,0.0,0.214,0.096,拉丁
Ice Cube,23,rap,40.696,74,2001.0,0.778,0.762,0.641,0.102,0.008,0.215,0.216,说唱
R3HAB,47,edm,40.681,80,2017.0,0.62,0.816,0.344,0.126,0.112,0.188,0.078,电子舞曲
Rihanna,45,latin,40.667,80,2012.0,0.659,0.675,0.469,0.103,0.001,0.147,0.088,拉丁
Troye Sivan,12,pop,40.583,75,2018.0,0.665,0.678,0.55,0.121,0.008,0.155,0.057,流行
GoldLink,12,r&b,40.583,76,2016.0,0.725,0.707,0.513,0.201,0.001,0.23,0.254,R&B
Prabh Deep,7,rap,40.571,49,2019.0,0.768,0.692,0.531,0.262,0.0,0.139,0.321,说唱
NLSN,7,latin,40.571,57,2019.0,0.717,0.694,0.519,0.147,0.005,0.164,0.12,拉丁
Aerosmith,29,rock,40.517,78,1998.0,0.468,0.786,0.516,0.114,0.008,0.229,0.039,摇滚
Jess Glynne,6,pop,40.5,70,2018.0,0.681,0.699,0.515,0.3,0.0,0.207,0.092,流行
Fred Hammond,6,r&b,40.5,54,2000.0,0.373,0.674,0.316,0.454,0.0,0.414,0.077,R&B
Kaan Pars,8,edm,40.5,48,2018.0,0.766,0.624,0.302,0.356,0.083,0.146,0.11,电子舞曲
Ying Yang Twins,7,rap,40.429,71,2003.0,0.715,0.671,0.509,0.013,0.0,0.187,0.146,说唱
TLC,17,r&b,40.412,79,1994.0,0.718,0.681,0.648,0.071,0.075,0.147,0.058,R&B
Soul For Real,5,r&b,40.4,59,2007.0,0.657,0.589,0.56,0.096,0.0,0.081,0.056,R&B
Ñejo & Dalmata,8,latin,40.25,68,2007.0,0.844,0.738,0.662,0.147,0.001,0.124,0.1,拉丁
Lost Frequencies,25,pop,40.24,67,2017.0,0.712,0.686,0.439,0.159,0.018,0.171,0.051,流行
Armin van Buuren,43,edm,40.186,68,2018.0,0.575,0.872,0.284,0.026,0.159,0.201,0.072,电子舞曲
Michael Learns To Rock,10,rock,40.1,61,2014.0,0.637,0.448,0.446,0.181,0.0,0.101,0.026,摇滚
Janelle Monáe,30,pop,40.033,56,2013.0,0.628,0.609,0.475,0.216,0.026,0.176,0.099,流行
Gente De Zona,8,latin,40.0,73,2017.0,0.721,0.901,0.818,0.126,0.0,0.179,0.058,拉丁
Warren G,8,rap,40.0,73,1994.0,0.821,0.601,0.72,0.192,0.009,0.125,0.197,说唱
Hot Shade,5,latin,40.0,68,2018.0,0.625,0.768,0.597,0.049,0.0,0.211,0.087,拉丁
Cam’ron,6,rap,40.0,65,2002.0,0.735,0.767,0.779,0.025,0.0,0.159,0.274,说唱
James Blake,7,r&b,39.857,67,2019.0,0.51,0.387,0.305,0.789,0.115,0.135,0.111,R&B
Mary J. Blige,12,r&b,39.833,70,1992.0,0.664,0.639,0.659,0.283,0.0,0.134,0.08,R&B
Eric B. & Rakim,5,rap,39.8,53,1988.0,0.781,0.784,0.693,0.123,0.001,0.097,0.233,说唱
Juvenile,14,rap,39.786,65,1999.0,0.786,0.736,0.658,0.13,0.0,0.132,0.194,说唱
Odd Chap,6,edm,39.667,45,2018.0,0.83,0.866,0.682,0.08,0.218,0.161,0.163,电子舞曲
Lonely in the Rain,7,edm,39.571,57,2019.0,0.613,0.533,0.137,0.481,0.314,0.134,0.059,电子舞曲
Metallica,14,rock,39.5,79,1991.0,0.486,0.764,0.404,0.014,0.022,0.145,0.051,摇滚
Flume,11,rap,39.455,76,2017.0,0.533,0.668,0.308,0.167,0.002,0.119,0.067,说唱
Sultan + Shepard,7,edm,39.429,55,2019.0,0.641,0.794,0.263,0.025,0.283,0.262,0.048,电子舞曲
Macross 82-99,10,r&b,39.4,52,2016.0,0.667,0.802,0.658,0.029,0.36,0.238,0.079,R&B
The Electric Swing Circus,5,edm,39.4,50,2018.0,0.791,0.783,0.838,0.12,0.092,0.2,0.057,电子舞曲
Cypress Hill,36,latin,39.389,70,1999.0,0.759,0.673,0.602,0.055,0.07,0.177,0.254,拉丁
KAAZE,13,edm,39.385,63,2019.0,0.535,0.826,0.361,0.019,0.198,0.361,0.059,电子舞曲
Iggy Pop,8,rock,39.375,60,1998.5,0.442,0.749,0.618,0.18,0.175,0.236,0.049,摇滚
Wolfgang Lohr,9,edm,39.333,42,2018.0,0.816,0.834,0.718,0.18,0.277,0.158,0.117,电子舞曲
Raekwon,6,rap,39.167,63,2003.5,0.602,0.792,0.512,0.117,0.0,0.231,0.267,说唱
Yves V,7,edm,39.143,69,2019.0,0.634,0.859,0.312,0.017,0.271,0.274,0.056,电子舞曲
Don Omar,84,latin,39.06,75,2010.0,0.728,0.797,0.718,0.127,0.004,0.229,0.123,拉丁
Noname,5,r&b,39.0,63,2019.0,0.714,0.488,0.455,0.394,0.007,0.116,0.173,R&B
Desiigner,8,pop,39.0,74,2016.0,0.637,0.734,0.298,0.097,0.0,0.263,0.274,流行
Imagine Dragons,33,pop,38.909,88,2015.0,0.568,0.707,0.445,0.145,0.017,0.245,0.075,流行
Dirty South,6,edm,38.833,61,2014.0,0.542,0.842,0.274,0.016,0.069,0.256,0.036,电子舞曲
Donell Jones,11,r&b,38.818,60,2002.0,0.716,0.514,0.679,0.198,0.0,0.156,0.05,R&B
Mustard,11,rap,38.818,90,2019.0,0.79,0.642,0.38,0.183,0.0,0.147,0.147,说唱
Faith Evans,9,r&b,38.778,63,1998.0,0.579,0.572,0.556,0.156,0.0,0.206,0.058,R&B
A Flock Of Seagulls,8,rock,38.75,58,1992.0,0.532,0.77,0.659,0.015,0.321,0.343,0.039,摇滚
Def Leppard,24,rock,38.75,74,1987.0,0.52,0.848,0.571,0.013,0.032,0.235,0.047,摇滚
Fuego,6,latin,38.667,69,2017.0,0.786,0.696,0.524,0.176,0.005,0.084,0.065,拉丁
Cosculluela,8,latin,38.625,71,2015.0,0.804,0.735,0.764,0.172,0.0,0.173,0.219,拉丁
CHVRCHES,5,pop,38.6,61,2018.0,0.482,0.754,0.272,0.014,0.009,0.172,0.032,流行
Yes,5,rock,38.6,69,1977.0,0.54,0.679,0.556,0.168,0.004,0.166,0.044,摇滚
Birdman,5,rap,38.6,59,2006.0,0.738,0.762,0.769,0.033,0.0,0.181,0.154,说唱
Glades,5,pop,38.6,54,2016.0,0.624,0.757,0.491,0.067,0.0,0.106,0.039,流行
After 7,8,r&b,38.5,53,1997.0,0.713,0.707,0.744,0.101,0.0,0.204,0.037,R&B
ARTY,8,edm,38.5,63,2019.0,0.563,0.83,0.305,0.042,0.346,0.202,0.041,电子舞曲
Goodie Mob,9,rap,38.333,56,1998.0,0.868,0.548,0.466,0.069,0.0,0.122,0.349,说唱
Mœnia,10,pop,38.2,68,2002.0,0.653,0.759,0.552,0.084,0.098,0.252,0.035,流行
Litvinenko,5,rap,38.2,46,2018.0,0.782,0.783,0.457,0.504,0.224,0.18,0.145,说唱
Depeche Mode,33,pop,38.03,71,1990.0,0.649,0.732,0.652,0.172,0.176,0.187,0.039,流行
Gloria Estefan,44,latin,38.023,60,1993.0,0.656,0.63,0.679,0.343,0.003,0.152,0.052,拉丁
JETFIRE,5,edm,38.0,45,2019.0,0.639,0.886,0.24,0.062,0.067,0.249,0.064,电子舞曲
Van Halen,31,rock,37.903,78,1984.0,0.499,0.883,0.58,0.07,0.021,0.173,0.071,摇滚
Ozzy Osbourne,16,rock,37.875,77,2000.0,0.413,0.825,0.402,0.056,0.002,0.179,0.069,摇滚
Jennifer Lopez,24,latin,37.875,74,2011.0,0.759,0.756,0.634,0.115,0.004,0.151,0.122,拉丁
Ludacris,27,rap,37.852,65,2003.0,0.673,0.761,0.636,0.123,0.0,0.229,0.287,说唱
Johnnie Taylor,6,rap,37.833,42,1992.5,0.695,0.533,0.636,0.454,0.001,0.231,0.045,说唱
Taz,5,rap,37.8,48,2019.0,0.82,0.509,0.418,0.084,0.015,0.145,0.079,说唱
Snoop Dogg,29,rap,37.793,72,2004.0,0.757,0.73,0.667,0.089,0.004,0.218,0.175,说唱
K-391,7,edm,37.714,78,2018.0,0.552,0.774,0.36,0.173,0.17,0.171,0.133,电子舞曲
